pipeline,axis,t_name,r_name,is_identity,k_train,n_train,p_hat_train,cp_lcb_train,accepted_train,k_hold,n_hold,p_hat_hold,cp_lcb_hold,accepted_hold,stable
f_wrongrule,order,permute_risks,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_wrongrule,order,permute_risks,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_wrongrule,order,permute_risks,R_sign_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_wrongrule,optional,replace_description,R_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_wrongrule,optional,replace_description,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_wrongrule,optional,replace_description,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_wrongrule,optional,replace_description,R_sign_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_wrongrule,optional,blank_description,R_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_wrongrule,optional,blank_description,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_wrongrule,optional,blank_description,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_wrongrule,optional,blank_description,R_sign_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_wrongrule,non_rule_fact,add_risk_item,R_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_wrongrule,non_rule_fact,add_risk_item,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_wrongrule,non_rule_fact,add_risk_item,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_wrongrule,non_rule_fact,add_risk_item,R_sign_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_wrongrule,non_rule_fact,drop_risk_item,R_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_wrongrule,non_rule_fact,drop_risk_item,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_wrongrule,non_rule_fact,drop_risk_item,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_wrongrule,non_rule_fact,drop_risk_item,R_sign_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_wrongrule,non_rule_fact,bump_founder_experience,R_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_wrongrule,non_rule_fact,bump_founder_experience,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_wrongrule,non_rule_fact,bump_founder_experience,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_wrongrule,non_rule_fact,bump_founder_experience,R_sign_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_wrongrule,rule_threshold,strengthen_revenue_threshold,R_eq,0,279,350,0.7971,0.7198,0,115,150,0.7667,0.6395,0,0
f_wrongrule,rule_threshold,strengthen_revenue_threshold,R_le,0,279,350,0.7971,0.7198,0,115,150,0.7667,0.6395,0,0
f_wrongrule,rule_threshold,strengthen_revenue_threshold,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_wrongrule,rule_threshold,strengthen_revenue_threshold,R_sign_eq,0,317,350,0.9057,0.8447,0,128,150,0.8533,0.7393,0,0
f_wrongrule,rule_threshold,weaken_revenue_threshold,R_eq,0,290,350,0.8286,0.7549,0,127,150,0.8467,0.7313,0,0
f_wrongrule,rule_threshold,weaken_revenue_threshold,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_wrongrule,rule_threshold,weaken_revenue_threshold,R_ge,0,290,350,0.8286,0.7549,0,127,150,0.8467,0.7313,0,0
f_wrongrule,rule_threshold,weaken_revenue_threshold,R_sign_eq,0,323,350,0.9229,0.8658,0,135,150,0.9,0.7971,0,0
f_wrongrule,rule_threshold,strengthen_team_threshold,R_eq,0,270,350,0.7714,0.6916,0,115,150,0.7667,0.6395,0,0
f_wrongrule,rule_threshold,strengthen_team_threshold,R_le,0,270,350,0.7714,0.6916,0,115,150,0.7667,0.6395,0,0
f_wrongrule,rule_threshold,strengthen_team_threshold,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_wrongrule,rule_threshold,strengthen_team_threshold,R_sign_eq,0,311,350,0.8886,0.8242,0,135,150,0.9,0.7971,0,0
f_wrongrule,rule_threshold,weaken_team_threshold,R_eq,0,316,350,0.9029,0.8413,0,126,150,0.84,0.7234,0,0
f_wrongrule,rule_threshold,weaken_team_threshold,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_wrongrule,rule_threshold,weaken_team_threshold,R_ge,0,316,350,0.9029,0.8413,0,126,150,0.84,0.7234,0,0
f_wrongrule,rule_threshold,weaken_team_threshold,R_sign_eq,0,332,350,0.9486,0.8986,0,136,150,0.9067,0.8057,0,0
f_wrongrule,rule_threshold,strengthen_risk_threshold,R_eq,0,274,350,0.7829,0.7041,0,116,150,0.7733,0.6469,0,0
f_wrongrule,rule_threshold,strengthen_risk_threshold,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
